name_description,true_label,zeroshot_pred,fewshot_pred
"Prithish Believe In Yourself Double Color Ceramic Mug Prithish Believe In Yourself Double Color Ceramic Mug (330 ml)
                         Price: Rs. 225
				
			""Get Talking With Your Coffee! Our Wide Selection Of Cute And Catchy Designs Means You'Re Sure To Find The Quote That Says What It Is, The Way It Is. And If These Mugs Bring On The Smiles, Don'T Forget To Share Them. Mugs Like These Make Great Gifts! Each Mug Is Beautifully Designed With Quality Ink And Attractive Graphics, Perfect For All Around Enjoyment."" ""Express Yourself! Our Distinctive Coffee Mugs Give You The Freedom To Broadcast Your Own Special Message, From Holiday Cheer To Your Love Of Cupcakes. These Affordable Mugs Are Also Perfect For Gifting, So You Can Show Others Just How Well You Know Them. Break Out The Mugs, And Bring On The Laughs! Happy Sipping!
""Get Talking With Your Coffee! Our Wide Selection Of Cute And Catchy Designs Means You'Re Sure To Find The Quote That Says What It Is, The Way It Is. And If These Mugs Bring On The Smiles, Don'T Forget To Share Them. Mugs Like These Make Great Gifts! Each Mug Is Beautifully Designed With Quality Ink And Attractive Graphics, Perfect For All Around Enjoyment."" ""Express Yourself! Our Distinctive Coffee Mugs Give You The Freedom To Broadcast Your Own Special Message, From Holiday Cheer To Your Love Of Cupcakes. These Affordable Mugs Are Also Perfect For Gifting, So You Can Show Others Just How Well You Know Them. Break Out The Mugs, And Bring On The Laughs! Happy Sipping!",Kitchen & Dining,Home Furnishing,Home Furnishing
"Bourne Supermacy Canvas Art Key Features of Bourne Supermacy Canvas Art Unique and Uber design High Grade 300 GSM Canvas Poster Bright Detailed Printing Standard 12"" x 18"" size Comes in rolled form in a Poster Tube,Bourne Supermacy Canvas Art (18 inch X 12 inch, Rolled) Price: Rs. 999 Bourne Supermacy Canvas poster from Urban Monk accomplishes its task of reflecting your passion about the thing and solely provides an elegant touch to your home or your work place. Understanding and providing the urban folks with the designs ranging from music ,movies, tv, shows, cricket, football, NBA, NFL, minimal, funny. abstract art etc posters is our sole purpose.Bourne Supermacy 12x18 inches poster is made of high grade 300gsm Canvas paper ,then printed using ultra violet discharge printing for the richness of colours and details. We have made sure that this canvas art provides you a sense of satisfaction. It comes in a rigid poster tube to prevent carriage damage. Margins are left on the sides for framing.,Specifications of Bourne Supermacy Canvas Art (18 inch X 12 inch, Rolled) Warranty Warrenty is limited to manufacturing defects only. Dimensions Paper Depth 285 gsm Weight 100 g Height 18 inch Width 12 inch Poster Details Shape Rectangle Category Nature, Educational, Sports Paper Finish Matte Paper Type Canvas Art Sub-Category Thrillers, Bollywood, Music & Musical Instruments Color Poster Yes In the Box Number of Contents in Sales Package 1 Sales Package 1 Rolled Poster",Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
Rajasthan Crafts Abstract Single Quilts & Comforters Green Buy Rajasthan Crafts Abstract Single Quilts & Comforters Green at Rs. 840 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Furnishing,Home Decor & Festive Needs
AsiaCraft Goddess of Wealth Laxmi Brass Statue Showpiece  -  7.62 cm Buy AsiaCraft Goddess of Wealth Laxmi Brass Statue Showpiece  -  7.62 cm for Rs.350 online. AsiaCraft Goddess of Wealth Laxmi Brass Statue Showpiece  -  7.62 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Sapatos Plain Single Duvet Blue Sapatos Plain Single Duvet Blue (1 Piece Brown Single Duvet)
                         Price: Rs. 1,499
				
			Add spunk to your home decor with this beautifully designed Duvet from Sapatos. Crafted to provide utmost comfort, this exquisite Quilt will ensure that you look forward to crash into bed after a tiring day.
Add spunk to your home decor with this beautifully designed Duvet from Sapatos. Crafted to provide utmost comfort, this exquisite Quilt will ensure that you look forward to crash into bed after a tiring day.",Home Furnishing,Home Furnishing,Home Furnishing
"Techone+ Portable SE122103-WHITE USB Led Light Techone+ Portable SE122103-WHITE USB Led Light (White)
                         Price: Rs. 449
				
			Usable with Power Bank, Laptop, USB Port Adaptor, USB Multi Pin Board & USB Port Device.
Usable with Power Bank, Laptop, USB Port Adaptor, USB Multi Pin Board & USB Port Device.",Computers,Computers,Computers
"Nutcase Sticker Wrap Design - Gummy Bears 800 ml Bottle Nutcase Sticker Wrap Design - Gummy Bears 800 ml Bottle (Pack of 1, Multicolor)
                         Price: Rs. 399
				
			Nutcase brings you designer water bottle . Nutcase Bottles reflect your style, your attitude. This aluminium water bottle comes with a harness hook , waterproof sticker wrap and a fresh , quirky playful design .
Nutcase brings you designer water bottle . Nutcase Bottles reflect your style, your attitude. This aluminium water bottle comes with a harness hook , waterproof sticker wrap and a fresh , quirky playful design .",Kitchen & Dining,Home Decor & Festive Needs,Home Decor & Festive Needs
"Miracle Retail Bonsai Wild Plant Artificial Plant  with Pot Key Features of Miracle Retail Bonsai Wild Plant Artificial Plant  with Pot Premium quality soft plastic Artificial Bonsai plant with high quality Wooden pot Can be used for indoor and outdoor purpose Ideal for Home décor & Garden décor Ideal for Side corners Ideal for Centre table,Miracle Retail Bonsai Wild Plant Artificial Plant  with Pot (32 cm, Yellow) Price: Rs. 599 Let Natural Hues Refresh Your Interior Once You Bring This Artificial Bonsai Plant With Wooden pot from The House Of Miracle Retail. Ideal For Beautifying The Side Table, Centre Table And Dining Table, This Decorative Item Requires Minimum Maintenance And Care. Made From Premium Quality Plastic, The Artificial Bonsai Plant Is Completely Non Toxic And Environment Friendly. On The Other Hand, The Base Is Extremely Sturdy Yet Lightweight. Those Who Want To Brighten Up Their Living Space Without Any Dirt Or Mud, Must Opt For This Artificial Bonsai Plant With Wooden Pot. To add colour to your interior landscape, order this Artificial Bonsai Plant from Miracle Retail. It instantly brightens up the place wherever you keep it. It needs minimal care. It Will Make A Great Gifting Option For Friends And Relatives As Well.,Specifications of Miracle Retail Bonsai Wild Plant Artificial Plant  with Pot (32 cm, Yellow) General Brand Miracle Retail Model Number BNSI/03 Stem Material Plastic Bonsai Yes Type Wild Plant Plant Material Plastic Color Yellow Pot Features Pot Material Wood Pot Color Brown Pot Included Yes Pot Size Medium Dimensions Pot Width 10 cm Weight 400 g Total Height 32 cm Pot Height 14 cm Total Width 16 cm Additional Features Suitable For Home Decor, Garden Decor, Office Decor Number of Branches 1 In the Box Sales Package 1 Premium Bonsai Artificial Plant With Wooden Pot Pack of 1",Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Adino ADF04 Analog Watch  - For Girls Specifications of Adino ADF04 Analog Watch  - For Girls General Type Analog Style Code ADF04 Ideal For Girls Occasion Party-Wedding Warranty 3 Month Body Features Dial Shape Round Strap Color Steel Dial Color Black, Pink, Green, Purpal",Watches,Watches,Watches
Aero Care La Royal Orange & Ice Combo Set Flipkart.com: Buy Aero Care La Royal Orange & Ice Combo Set online only for Rs. 165 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Home Furnishing,Home Furnishing
"Buyer's Beach BB349 Buyer's Beach BB349 (Brown) Price: Rs. 449 Stylish In Every Discernment, These Multicolor Cups Will Procure An Individual Boundless Compliments From Your Companions. Likewise, This Specific Artistic Altered Can Be Light And Convenient, Chips Resistant And Additionally Dishwasher Danger Free.,Specifications of Buyer's Beach BB349 (Brown) General Brand Buyer's Beach Model Number BB349 Type Tea Dishwasher Safe Yes Material Ceramic Color Brown In the box Sales Package 4 Cups",Kitchen & Dining,Home Decor & Festive Needs,Kitchen & Dining
"Shoppingtara Paper Mache 3 Piece Elephant Home Decor Gift Showpiece  -  4 cm Shoppingtara Paper Mache 3 Piece Elephant Home Decor Gift Showpiece  -  4 cm (Paper Mache, Multicolor)
                         Price: Rs. 489
				
			This handcrafted elephant is a set of 3 piece elephants made of Chinese Paper Mache art. They have been decorated with enamel paint and lacquer polish. The size of the elephants is in increasing order of 2.5 inch, 3 inch and 3.5 inch. It is an exclusive show piece for your drawing room; sure to be admired by your guests.
This handcrafted elephant is a set of 3 piece elephants made of Chinese Paper Mache art. They have been decorated with enamel paint and lacquer polish. The size of the elephants is in increasing order of 2.5 inch, 3 inch and 3.5 inch. It is an exclusive show piece for your drawing room; sure to be admired by your guests.",Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Perucci PC-222 Decker Analog Watch  - For Men Perucci PC-222 Decker Analog Watch  - For Men - Buy Perucci PC-222 Decker Analog Watch  - For Men  PC-222 Online at Rs.290 in India Only at Flipkart.com. Beautifull Watches, Comfortable Watches, Fancy Watche, Stylish Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"Layer'r Shot Compact Impact ,Explode And Turbo Body Spray (Pack Of 3) Combo Set Flipkart.com: Buy Layer'r Shot Compact Impact ,Explode And Turbo Body Spray (Pack Of 3) Combo Set online only for Rs. 355 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!",Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
Moonleaf Geometric Cushions Cover Buy Moonleaf Geometric Cushions Cover at Rs. 199 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Furnishing,Home Furnishing
"Sparklings Cotton Checkered Double Bedsheet Key Features of Sparklings Cotton Checkered Double Bedsheet Best Fit For:-Large Size Double Bed(6.5 ft X 6 ft) Thread Count:160 TC Package Content:1 Double Bedsheet With 2 Pillow Cover,Sparklings Cotton Checkered Double Bedsheet (double bedsheet with pillow covers, Multicolor) Price: Rs. 549 There are days when you don’t want to socialise, and just curl up on your bed, and read, or watch your favourite TV show. For those days, you can jazz up your bedroom décor, by spreading this double bedsheet from SPARKLINGS to pep up your mood. Print that you will Love The blend of abstract and floral prints gives this bedsheet an appealing look. Cotton You wouldn’t want to leave your bedroom anymore, as the bedsheet and two pillow covers are made of cotton to help you relax your body and mind as soon as you hit the bed.,Specifications of Sparklings Cotton Checkered Double Bedsheet (double bedsheet with pillow covers, Multicolor) General Brand Sparklings Machine Washable Yes Type Flat Material Cotton Model Name BDOA510SPK Ideal For Boys & Girls Model ID BDOA510SPK Color Multicolor Size Double Fabric Care First few wash separately, Dark colors to be wash separately, Cold machine wash, Do not use strong Detergent, Do not Bleach, Do not Tumble Dry, Do not Iron on Prints, Do not soak for long time, Dry In Shade. Dimensions Flat Sheet Width 89 inch / 228 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 27 inch / 69 cm Weight 450 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 3 cm Flat Sheet Length 89 inch / 228 cm In the Box Number of Contents in Sales Package 1 Sales Package double bedsheet with pillow covers Additional Features Product color may vary due to photogenic effect",Baby Care,Home Furnishing,Home Furnishing
"Prithish Never Ever Give Up Ceramic Mug Prithish Never Ever Give Up Ceramic Mug (330 ml)
                         Price: Rs. 175
				
			""Get talking with your coffee! Our wide selection of cute and catchy designs means you're sure to find the quote that says what it is, the way it is. And if these mugs bring on the smiles, don't forget to share them. Mugs like these make great gifts! Each mug is beautifully designed with quality ink and attractive graphics, perfect for all around enjoyment."" ""Express yourself! Our distinctive coffee mugs give you the freedom to broadcast your own special message, from holiday cheer to your love of cupcakes. These affordable mugs are also perfect for gifting, so you can show others just how well you know them. Break out the mugs, and bring on the laughs! Happy sipping!
""Get talking with your coffee! Our wide selection of cute and catchy designs means you're sure to find the quote that says what it is, the way it is. And if these mugs bring on the smiles, don't forget to share them. Mugs like these make great gifts! Each mug is beautifully designed with quality ink and attractive graphics, perfect for all around enjoyment."" ""Express yourself! Our distinctive coffee mugs give you the freedom to broadcast your own special message, from holiday cheer to your love of cupcakes. These affordable mugs are also perfect for gifting, so you can show others just how well you know them. Break out the mugs, and bring on the laughs! Happy sipping!",Kitchen & Dining,Home Furnishing,Home Furnishing
Baby Bucket Cartoon Single Blanket blue Buy Baby Bucket Cartoon Single Blanket blue at Rs. 1395 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Baby Care,Baby Care
"Fighter FIGH_008 Digital Watch  - For Couple Fighter FIGH_008 Digital Watch  - For Couple - Buy Fighter FIGH_008 Digital Watch  - For Couple  FIGH_008 Online at Rs.225 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
The Intellect Bazaar Plain King Blanket Grey Buy The Intellect Bazaar Plain King Blanket Grey at Rs. 999 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Furnishing,Home Furnishing
"VarEesha Wooden Key Holder Key Features of VarEesha Wooden Key Holder Hand made using wrought iron and mango wood Color - Brown Material - Sheesham wood Care instructions : Clean with a wet cloth and wipe gently.,VarEesha Wooden Key Holder (8 Hooks, Multicolor) Price: Rs. 1,199 Traditional design combined with utility, this wood and iron designed keybox is a convenient place to store all your keys. The iron design has a glass back to protect from dust and makes this box very manageable. Has 6 hooks inside for your keys which are less frequently used and 2 bigger hooks outside for car keys and other bigger keys which are used daily.,Specifications of VarEesha Wooden Key Holder (8 Hooks, Multicolor) General Brand VarEesha Model Number VSSWH001 Material Wooden Number of Hooks 8 Color Multicolor In the box Sales Package 1 KeyHanger Pack of 1 Dimensions Weight 900 g Other Dimensions L*B*H-20x10x35 cms",Home Decor & Festive Needs,Home Furnishing,Home Furnishing
Oxyglow Golden Glow Radiance Anti Acne Facial Kit & Fruit Massage Cream With Vitamin-E 200gm Buy Oxyglow Golden Glow Radiance Anti Acne Facial Kit & Fruit Massage Cream With Vitamin-E 200gm for Rs.570 online. Oxyglow Golden Glow Radiance Anti Acne Facial Kit & Fruit Massage Cream With Vitamin-E 200gm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
JSM Hard Anodized Kadhai 4 L Buy JSM Hard Anodized Kadhai 4 L for Rs.1071 online. JSM Hard Anodized Kadhai 4 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kitchen & Dining,Kitchen & Dining,Kitchen & Dining
"FURNISHINGLAND Black Polyester Carpet Key Features of FURNISHINGLAND Black Polyester Carpet Pattern: Geometric Shape: Rectangle Place of Use: BEDROOM, LIVING ROOM, GUEST ROOM,FURNISHINGLAND Black Polyester Carpet (90 cm  X 150 cm) Price: Rs. 1,325 This black colour geometrical carpet will brighten up the decor of your home. Made from high quality fabric, this carpet will keep your floor beautiful and clean. Furnishingland brings wide range of home furnishing products- Curtains, Blinds and Carpets to decorate your home. All products appeal excellent design and colours.,Specifications of FURNISHINGLAND Black Polyester Carpet (90 cm  X 150 cm) General Shape Rectangle Brand FURNISHINGLAND Place of Use BEDROOM, LIVING ROOM, GUEST ROOM Design Code FLMH922BLACKC3X5 Type Carpet Material Polyester Style Code FLMH922BLACKC3X5 Pattern Geometric Color Black Dimensions Length 59 inch / 150 cm Width 35 inch / 90 cm Additional Features Fabric Care Vaccum Clean In the Box Number of Contents in Sales Package Pack of 1",Home Furnishing,Home Furnishing,Home Furnishing
"KDS SURGICAL Tripod Walking Stick Specifications of KDS SURGICAL Tripod Walking Stick In The Box 1 WALKING STICK General Brand KDS SURGICAL Foldable No Model Number Tripod Material Iron, Plastic Color Grey Height Adjustable Yes Dimensions Weight 400 g Length 91 cm",Beauty and Personal Care,Home Furnishing,Computers
"Sonata super fiber Digital Watch  - For Boys, Men, Girls Sonata super fiber Digital Watch  - For Boys, Men, Girls - Buy Sonata super fiber Digital Watch  - For Boys, Men, Girls  super fiber Online at Rs.599 in India Only at Flipkart.com. Digital Display, Alarm - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
S C Handicrafts Sandalwood Carved Chinese Queen Big Showpiece  -  20 cm Buy S C Handicrafts Sandalwood Carved Chinese Queen Big Showpiece  -  20 cm for Rs.8900 online. S C Handicrafts Sandalwood Carved Chinese Queen Big Showpiece  -  20 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Wild Stone Deodorant No-22 Combo Set Wild Stone Deodorant No-22 Combo Set (Set of 2)
                         Price: Rs. 356
				
			Long lasting fragrance
Contains tricolosan as an active ingredient for deodorizing and long lasting fragrance
Long lasting fragrance
Contains tricolosan as an active ingredient for deodorizing and long lasting fragrance",Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
"Times TIMES_98 Formal Analog Watch  - For Women, Girls Times TIMES_98 Formal Analog Watch  - For Women, Girls - Buy Times TIMES_98 Formal Analog Watch  - For Women, Girls  TIMES_98 Online at Rs.550 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
TRENDnet N150 Wireless ADSL 2 Modem Router Buy TRENDnet N150 Wireless ADSL 2 Modem Router only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Computers,Computers,Computers
IWS Cotton Bath Towel Buy IWS Cotton Bath Towel at Rs. 299 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Furnishing,Home Furnishing
"Wild Stone Drift,Wave Combo Set Flipkart.com: Buy Wild Stone Drift,Wave Combo Set online only for Rs. 355 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!",Beauty and Personal Care,Home Decor & Festive Needs,Home Decor & Festive Needs
"Fabutex Polyester Black, White Abstract Eyelet Window & Door Curtain Fabutex Polyester Black, White Abstract Eyelet Window & Door Curtain (214 cm in Height, Pack of 4)
                         Price: Rs. 2,696
				
			High Quallity polyester jacquard Curtains, which adds a rich feel and fills your home with warmth of love and coziness. Exclusively from the house of fabutex.
High Quallity polyester jacquard Curtains, which adds a rich feel and fills your home with warmth of love and coziness. Exclusively from the house of fabutex.",Home Furnishing,Home Furnishing,Home Decor & Festive Needs
"Aarika Self Design Kurta & Patiyala Specifications of Aarika Self Design Kurta & Patiyala Salwar Kurta Dupatta Details Dupatta Fabric Net Sleeve Sleeveless Kurta Type Straight Type Kurta & Patiyala Neck Banded Collar Kurta Fabric Brocade Salwar Fabric Net General Details Pattern Self Design Ideal For Baby Girl's Occasion Party, Wedding, Festive Fabric Care Wash with Similar Colors, Use Detergent for Colors In the Box Kurta, Patiala, Dupatta",Baby Care,Home Decor & Festive Needs,Home Decor & Festive Needs
"Luba rk526 Rked Analog Watch  - For Women Luba rk526 Rked Analog Watch  - For Women - Buy Luba rk526 Rked Analog Watch  - For Women  rk526 Online at Rs.199 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Anna Andre Paris Majesty & Floralina Combo Set Flipkart.com: Buy Anna Andre Paris Majesty & Floralina Combo Set online only for Rs. 249 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Home Furnishing,Home Furnishing
Mxofere Combo Rose Jasmine Almond Honey Aloevera Mixfruit Soap Kit Buy Mxofere Combo Rose Jasmine Almond Honey Aloevera Mixfruit Soap Kit for Rs.295 online. Mxofere Combo Rose Jasmine Almond Honey Aloevera Mixfruit Soap Kit at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
"Times SD_147 Casual Analog Watch  - For Women Times SD_147 Casual Analog Watch  - For Women - Buy Times SD_147 Casual Analog Watch  - For Women  SD_147 Online at Rs.550 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Peacock Kadhai 3.8 L Buy Peacock Kadhai 3.8 L for Rs.1155 online. Peacock Kadhai 3.8 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kitchen & Dining,Kitchen & Dining,Kitchen & Dining
MyKid Nappy Flipkart.com is offering MyKid Nappy for only for Rs 199 | Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Baby Care,Baby Care,Baby Care
"palito PLO 166 Analog Watch  - For Girls, Women Specifications of palito PLO 166 Analog Watch  - For Girls, Women General Type Analog Style Code PLO 166 Ideal For Girls, Women Occasion Party-Wedding Warranty 6 months Body Features Dial Shape Round Strap Color black Dial Color black",Watches,Watches,Watches
"giftsthatwow GTW-G-06 Key Features of giftsthatwow GTW-G-06 Pack of 1 Multipurpose,giftsthatwow GTW-G-06 (600 ml, White, Pack of 1) Price: Rs. 800 Classic Glass For The Royal People,Specifications of giftsthatwow GTW-G-06 (600 ml, White, Pack of 1) General Brand giftsthatwow Model Number GTW-G-06 Type Glass Capacity 600 ml Color White Body & Design Features Material Glass Glass Type Multipurpose In the Box Pack of 1",Kitchen & Dining,Home Furnishing,Home Furnishing
"Maxima 23952LMLI Swarovski Analog Watch  - For Women Maxima 23952LMLI Swarovski Analog Watch  - For Women - Buy Maxima 23952LMLI Swarovski Analog Watch  - For Women  23952LMLI Online at Rs.895 in India Only at Flipkart.com. Rectangular Dial, Buckle Clasp, Pink Strap, Brass Case, Water Resistant - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"Perucci PC-122 Decker Analog Watch  - For Men Perucci PC-122 Decker Analog Watch  - For Men - Buy Perucci PC-122 Decker Analog Watch  - For Men  PC-122 Online at Rs.290 in India Only at Flipkart.com. Beautifull Watches, Comfortable Watches, Fancy Watche, Stylish Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"SF by Sonata 7991PP02 Ocean Digital Watch  - For Men SF by Sonata 7991PP02 Ocean Digital Watch  - For Men - Buy SF by Sonata 7991PP02 Ocean Digital Watch  - For Men  7991PP02 Online at Rs.999 in India Only at Flipkart.com. Water Resistant, Round Dial, Black Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"Reiki Crystal Products Showpiece  -  6 cm Key Features of Reiki Crystal Products Showpiece  -  6 cm Singing Bowls Vastu Healing Aura Cleaning Home Cleaning Room Cleaning,Reiki Crystal Products Showpiece  -  6 cm (Brass, Brown, Gold) Price: Rs. 1,200 Singing Bowl is an amazing instrument to play and clean the negativities from a place. As in Hinduism we play shankh. Shankh disintegrates the negative energies from a place with sound vibrations. Singing Bowl is a Buddhist concept of disintegrating and cleaning the negative energies by sound waves. The main benefit of using a Singing Bowls is that it is very easy to play and handle. We should always rotate the striker / play the bowl clockwise. Singing Bowls amplifies any intention with which it is played. So we can use singing bowl to clean the place our homes, rooms, offices, shops from all kinds of negative energies and vibrations. We can charge the place with positive energies and much more. Use it regularly to experience its benefits. The singing bowls are available from a size of 350 gms to upto 2.5 kg. The bigger the bowl the deeper the sound and vibrations. Disclaimer - The information provided is based on individual experience and should not be treated as medical advice. Inadvertent use of it will not be our responsibility.,Specifications of Reiki Crystal Products Showpiece  -  6 cm (Brass, Brown, Gold) General Brand Reiki Crystal Products Model Number Singing Bowls Metal Type Fengshui Material Brass Color Brown, Gold Dimensions Weight 685 g Height 6 cm Width 10 cm Depth 6 cm Warranty Covered in Warranty No Warranty Service Type No In the Box Sales Package 1 Singing Bowl",Home Decor & Festive Needs,Home Furnishing,Home Furnishing
NEHP NEH006 Showpiece  -  38.1 cm Buy NEHP NEH006 Showpiece  -  38.1 cm for Rs.499 online. NEHP NEH006 Showpiece  -  38.1 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Furnishing,Home Furnishing
"SPANGLE Floral King Blanket CC0070001 SPANGLE Floral King Blanket CC0070001 (Mink Blanket, Blanket With Storage Bag)
                         Price: Rs. 1,100
				
			Soft Mink Blanket Made of Yarn to Keep You Warm
Soft Mink Blanket Made of Yarn to Keep You Warm",Home Furnishing,Home Furnishing,Home Furnishing
"Maxima 01727LPLN Mac Gold Analog Watch  - For Women Maxima 01727LPLN Mac Gold Analog Watch  - For Women - Buy Maxima 01727LPLN Mac Gold Analog Watch  - For Women  01727LPLN Online at Rs.650 in India Only at Flipkart.com. Plastic Case, Brass Bezel, Buckle Clasp, Water Resistant, Oval Dial, Black Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Cinthol Deo Spray - Intense (Pack of 2) Combo Set Flipkart.com: Buy Cinthol Deo Spray - Intense (Pack of 2) Combo Set online only for Rs. 275 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
Adidas Dynamic Pulse and Team Force Combo Set Flipkart.com: Buy Adidas Dynamic Pulse and Team Force Combo Set online only for Rs. 380 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Computers,Kitchen & Dining
Vedic Deals Couple Radium Statues Showpiece  -  28 cm Buy Vedic Deals Couple Radium Statues Showpiece  -  28 cm for Rs.499 online. Vedic Deals Couple Radium Statues Showpiece  -  28 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"e.l.f. Cosmetics Studio brow Kit Ash Brow Makeup Brush Mirror Girly Elf Fun Sexy 3 g e.l.f. Cosmetics Studio brow Kit Ash Brow Makeup Brush Mirror Girly Elf Fun Sexy 3 g (Dark) Price: Rs. 1,064 Create brows that are fuller, thicker, and more defined! The pigmented wax defines and shapes brows and the color complementing setting powder keeps them looking arched and perfected. The doubled sided taklon brush has one side to help arch your brows while the other side aids in filling them in. This duo provides lasting color definition for a naturally beautiful look.,Specifications of e.l.f. Cosmetics Studio brow Kit Ash Brow Makeup Brush Mirror Girly Elf Fun Sexy 3 g (Dark) Eye Shadow Traits Quantity 3 g Shade Dark",Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
Exotic India Relaxing Ganesha Showpiece  -  11.43 cm Buy Exotic India Relaxing Ganesha Showpiece  -  11.43 cm for Rs.10890 online. Exotic India Relaxing Ganesha Showpiece  -  11.43 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
HouseAttire Abstract Cushions Cover Buy HouseAttire Abstract Cushions Cover at Rs. 138 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Furnishing,Home Furnishing
